feature,importance
categorical__district_Voronovskoye,3.606661417233019e-07
categorical__metro_station_Universitet,2.147782147727196e-07
categorical__metro_line_Tagansko-Krasnopresnenskaya,1.0857017297532042e-07
categorical__district_Novofyodorovskoye,0.0
categorical__district_Molzhaninovsky,0.0
categorical__district_Nagatinsky Zaton,0.0
categorical__district_Nagorny,0.0
categorical__district_Lianozovo,0.0
categorical__district_Levoberezhny,0.0
categorical__district_Kuntsevo,0.0
categorical__district_Krasnopakhorskoye,0.0
categorical__district_Kotlovka,0.0
categorical__district_Kosino-Ukhtomsky,0.0
categorical__district_Koptevo,0.0
categorical__district_Konkovo,0.0
categorical__district_Klyonovskoye,0.0
categorical__district_Kievsky,0.0
categorical__district_Khovrino,0.0
categorical__district_Khoroshyovo-Mnyovniki,0.0
categorical__distance_to_center_group_0-5 km,0.0
categorical__district_Mikhaylovo-Yartsevskoye,0.0
categorical__district_Marushkinskoye,0.0
categorical__district_Losinoostrovsky,0.0
categorical__district_Obruchevsky,0.0
categorical__district_Novokosino,0.0
categorical__district_Novogireyevo,0.0
categorical__district_Orekhovo-Borisovo Severnoye,0.0
categorical__district_Perovo,0.0
categorical__district_Pervomayskoye,0.0
categorical__district_Orekhovo-Borisovo Yuzhnoye,0.0
categorical__district_Maryina Roshcha,0.0
categorical__district_Mozhaysky,0.0
categorical__district_Nagatino-Sadovniki,0.0
categorical__metro_line_Kalininskaya,0.0
categorical__metro_line_MCC,0.0
categorical__metro_line_Lyublinsko-Dmitrovskaya,0.0
categorical__metro_line_Bolshaya Koltsevaya,0.0
categorical__metro_station_Yugo-Zapadnaya,0.0
categorical__metro_station_Yuzhnaya,0.0
categorical__district_Yaroslavsky,0.0
categorical__district_Vostochny,0.0
categorical__district_Vostochnoye Izmaylovo,0.0
categorical__district_Vnukovo,0.0
categorical__district_Vnukovskoye,0.0
categorical__district_Troitsk,0.0
categorical__district_Tsaritsyno,0.0
categorical__district_Veshnyaki,0.0
categorical__district_Sosenskoye,0.0
categorical__district_Sviblovo,0.0
categorical__district_Solntsevo,0.0
categorical__district_Timiryazevsky,0.0
categorical__district_Filimonkovskoye,0.0
categorical__district_Golovinsky,0.0
categorical__district_Golyanovo,0.0
categorical__district_Ivanovskoye,0.0
categorical__district_Severny,0.0
categorical__district_Shchapovskoye,0.0
categorical__district_Chertanovo Tsentralnoye,0.0
categorical__district_Dmitrovsky,0.0
categorical__district_Donskoy,0.0
categorical__district_Cheryomushki,0.0
categorical__district_Danilovsky,0.0
categorical__district_Otradnoye,0.0
categorical__district_Preobrazhenskoye,0.0
categorical__district_Pokrovskoye-Streshnevo,0.0
categorical__district_Rostokino,0.0
categorical__district_Rogovskoye,0.0
categorical__district_Ryazanovskoye,0.0
categorical__district_Severnoye Butovo,0.0
categorical__district_Severnoye Izmaylovo,0.0
categorical__district_Severnoye Tushino,0.0
categorical__district_Moskvorechye-Saburovo,0.0
categorical__district_Moskovsky,0.0
categorical__district_Aeroport,0.0
categorical__metro_station_Kitay-Gorod,0.0
categorical__metro_station_Fili,0.0
categorical__metro_station_Frunzenskaya,0.0
categorical__metro_station_Kantemirovskaya,0.0
categorical__metro_station_Kakhovskaya,0.0
categorical__district_Biryulyovo Vostochnoye,0.0
categorical__district_Biryulyovo Zapadnoye,0.0
categorical__district_Bogorodskoye,0.0
categorical__district_Alekseevsky,0.0
categorical__district_Babushkinsky,0.0
categorical__district_Begovoy,0.0
categorical__district_Altufyevsky,0.0
categorical__district_Akademichesky,0.0
categorical__metro_station_Borovitskaya,0.0
categorical__metro_station_Begovaya,0.0
categorical__metro_station_Bagrationovskaya,0.0
categorical__district_Zyuzino,0.0
categorical__metro_station_Delovoy Tsentr,0.0
categorical__metro_station_Dinamo,0.0
categorical__metro_station_Chkalovskaya,0.0
categorical__metro_station_Chekhovskaya,0.0
categorical__metro_station_Elektrozavodskaya,0.0
categorical__metro_station_Dubrovka,0.0
categorical__district_Zapadnoye Degunino,0.0
categorical__district_Yuzhnoye Tushino,0.0
categorical__district_Zyablikovo,0.0
categorical__district_Zelenograd,0.0
categorical__district_Yuzhnoye Medvedkovo,0.0
categorical__district_Yasenevo,0.0
categorical__metro_station_Oktyabrskaya,0.0
categorical__metro_station_Okhotny Ryad,0.0
categorical__metro_station_Novye Cheryomushki,0.0
categorical__metro_station_Novokuznetskaya,0.0
categorical__metro_station_Nagornaya,0.0
categorical__metro_station_Novogireyevo,0.0
categorical__metro_station_Nagatinskaya,0.0
categorical__metro_station_Mendeleevskaya,0.0
categorical__metro_station_Kurskaya,0.0
categorical__metro_station_Mayakovskaya,0.0
categorical__metro_station_Kuznetsky Most,0.0
categorical__district_Brateyevo,0.0
categorical__district_Butyrsky,0.0
categorical__metro_station_Komsomolskaya,0.0
categorical__metro_station_Kozhukhovskaya,0.0
categorical__metro_station_Kropotkinskaya,0.0
categorical__district_Bibirevo,0.0
categorical__district_Beskudnikovsky,0.0
categorical__metro_station_Prospekt Mira,0.0
categorical__metro_station_Prospekt Vernadskogo,0.0
categorical__metro_station_Polezhaevskaya,0.0
categorical__metro_station_Preobrazhenskaya Ploshchad,0.0
categorical__metro_station_Pyatnitskoye Shosse,0.0
categorical__metro_station_Profsoyuznaya,0.0
categorical__metro_station_Pushkinskaya,0.0
categorical__metro_station_Pionerskaya,0.0
categorical__metro_station_Ploshchad Revolyutsii,0.0
categorical__metro_station_Park Kultury,0.0
categorical__metro_station_Perovo,0.0
categorical__metro_station_Pervomayskaya,0.0
categorical__metro_station_Partizanskaya,0.0
categorical__metro_station_Pechatniki,0.0
categorical__metro_station_Sokolniki,0.0
categorical__metro_station_Shchyolkovskaya,0.0
categorical__metro_station_Shosse Entuziastov,0.0
categorical__metro_station_Slavyansky Bulvar,0.0
categorical__metro_station_Sapyornoye Pole,0.0
categorical__metro_station_Rizhskaya,0.0
categorical__metro_station_Semyonovskaya,0.0
categorical__metro_station_Shabolovskaya,0.0
categorical__metro_station_Rimskaya,0.0
categorical__metro_station_Sviblovo,0.0
categorical__metro_station_Sukharevskaya,0.0
categorical__okrug_SAO,0.0
categorical__metro_station_Teatralnaya,0.0
categorical__metro_station_Studencheskaya,0.0
categorical__metro_station_Sretensky Bulvar,0.0
categorical__metro_station_Sportivnaya,0.0
categorical__metro_station_Troparyovo,0.0
categorical__metro_station_Tretyakovskaya,0.0
categorical__okrug_ZelAO,0.0
categorical__okrug_SVAO,0.0
categorical__metro_station_Turgenevskaya,0.0
categorical__metro_station_Trubnaya,0.0
categorical__metro_station_Tulskaya,0.0
categorical__metro_station_Tsvetnoy Bulvar,0.0
categorical__metro_station_Ulitsa Podbelskogo,0.0
categorical__metro_station_Ugreshskaya,0.0
categorical__metro_station_Tverskaya,0.0
categorical__metro_station_VDNKh,0.0
categorical__distance_to_center_group_10-15 km,0.0
categorical__distance_to_center_group_15-25 km,0.0
categorical__distance_to_center_group_25+ km,0.0
categorical__distance_to_center_group_5-10 km,0.0
