feature,importance
categorical__district_Severnoye Izmaylovo,4.543445736607557e-05
categorical__district_Khoroshyovo-Mnyovniki,4.430636303666827e-05
categorical__metro_station_Shchukinskaya,4.267067587914392e-05
categorical__district_Sokol,4.230863197748156e-05
categorical__metro_station_Ulitsa Akademika Yangelya,4.230234011240061e-05
categorical__district_Perovo,4.178253123306513e-05
categorical__metro_station_Perovo,4.173464766913037e-05
categorical__district_Kosino-Ukhtomsky,4.0546351728249066e-05
categorical__metro_station_VDNKh,4.0530175267201854e-05
categorical__metro_station_Sokol,4.0502529910017084e-05
categorical__metro_station_Shabolovskaya,3.960839530206432e-05
categorical__district_Rostokino,3.9485534319885265e-05
categorical__metro_station_Molodyozhnaya,3.8680877280365095e-05
categorical__metro_station_Elektrozavodskaya,3.8217822882370246e-05
categorical__district_Tyoply Stan,3.7828410824538326e-05
categorical__district_Kuntsevo,3.7281971860263236e-05
categorical__district_Savyolovsky,3.7004678418091195e-05
categorical__district_Biryulyovo Zapadnoye,3.5704933727195866e-05
categorical__metro_station_Timiryazevskaya,3.5398055247541224e-05
categorical__district_Molzhaninovsky,3.522909674130012e-05
categorical__metro_station_Kutuzovskaya,3.490985050112776e-05
categorical__metro_station_Ulitsa Podbelskogo,3.4739706629811285e-05
categorical__metro_station_Troparyovo,3.316533930636377e-05
categorical__metro_station_Polezhaevskaya,3.2641087256444205e-05
categorical__district_Novogireyevo,3.1921025957339246e-05
categorical__metro_station_Sportivnaya,3.0582625527520765e-05
categorical__district_Khovrino,3.0057760364061045e-05
categorical__district_Yuzhnoye Butovo,2.986687780194583e-05
categorical__district_Losinoostrovsky,2.9430106401557844e-05
categorical__metro_station_Tulskaya,2.9429981436341205e-05
categorical__metro_station_Kievskaya,2.917806905484073e-05
categorical__district_Chertanovo Yuzhnoye,2.899949492569891e-05
categorical__metro_station_Oktyabrskaya,2.8182681874274782e-05
categorical__metro_station_Pervomayskaya,2.8150016547627326e-05
categorical__metro_station_Rechnoy Vokzal,2.8142745566704158e-05
categorical__district_Dmitrovsky,2.7604254750787162e-05
categorical__metro_station_Slavyansky Bulvar,2.74548218389172e-05
categorical__district_Nagatino-Sadovniki,2.7144401806231146e-05
categorical__metro_station_Pushkinskaya,2.6622056146663433e-05
categorical__district_Vostochnoye Izmaylovo,2.6007777371568962e-05
categorical__district_Solntsevo,2.5922093284961153e-05
categorical__district_Koptevo,2.528508603915437e-05
categorical__metro_station_Dinamo,2.5279776671564633e-05
categorical__metro_station_Sviblovo,2.524367857216022e-05
categorical__district_Ivanovskoye,2.523992738770601e-05
categorical__district_Levoberezhny,2.510249467569856e-05
categorical__metro_station_Ulitsa 1905 Goda,2.5081001997601512e-05
categorical__district_Golovinsky,2.486106314325597e-05
categorical__metro_station_Aleksandrovsky Sad,2.475044041500787e-05
categorical__metro_station_Pionerskaya,2.4083536217519144e-05
categorical__metro_station_Shchyolkovskaya,2.400643016119273e-05
categorical__district_Brateyevo,2.398921203769865e-05
categorical__metro_station_Begovaya,2.3876322612588123e-05
categorical__district_Orekhovo-Borisovo Yuzhnoye,2.3381609404470383e-05
categorical__district_Sosenskoye,2.2740247748909355e-05
categorical__metro_station_Sevastopolskaya,2.2565232451350216e-05
categorical__district_Babushkinsky,2.2042234893771433e-05
categorical__metro_station_Yuzhnaya,2.1568188504906065e-05
categorical__district_Golyanovo,2.1003442957568414e-05
categorical__metro_station_Rizhskaya,2.0854659249106488e-05
categorical__metro_station_Filyovsky Park,2.077119599614054e-05
categorical__district_Maryina Roshcha,2.076031182688538e-05
categorical__district_Yuzhnoye Medvedkovo,2.0434513963033074e-05
categorical__district_Troitsk,2.0400372183986668e-05
categorical__metro_station_Okhotny Ryad,2.0236628892543406e-05
categorical__district_Desyonovskoye,2.016415210145869e-05
categorical__metro_station_Sretensky Bulvar,1.9944091204291024e-05
categorical__district_Sviblovo,1.9407209069351464e-05
categorical__metro_station_Bagrationovskaya,1.9012099020329605e-05
categorical__metro_station_Tretyakovskaya,1.8709060564325632e-05
categorical__metro_line_MCC,1.850134126494425e-05
categorical__district_Zapadnoye Degunino,1.836471518461507e-05
categorical__district_Otradnoye,1.8095441629314948e-05
categorical__district_Severnoye Medvedkovo,1.8038782615533715e-05
categorical__metro_station_Serpukhovskaya,1.8029842153235748e-05
categorical__metro_station_Studencheskaya,1.787801317676842e-05
categorical__district_Tsaritsyno,1.7795150247130843e-05
categorical__metro_station_Semyonovskaya,1.7385235296010774e-05
categorical__district_Novokosino,1.7071975364703693e-05
categorical__metro_station_Lubyanka,1.6777150450388962e-05
categorical__metro_station_Proletarskaya,1.676079414688213e-05
categorical__district_Vnukovo,1.660621127655418e-05
categorical__metro_station_Nagatinskaya,1.650759393394016e-05
categorical__district_Butyrsky,1.6216307903581556e-05
categorical__metro_station_Novokuznetskaya,1.5563869542855715e-05
categorical__metro_station_Mendeleevskaya,1.4912825428321641e-05
categorical__district_Chertanovo Tsentralnoye,1.4631180552515541e-05
categorical__metro_station_Smolenskaya (AP),1.4583631536658065e-05
categorical__metro_station_Fili,1.4491173477486734e-05
categorical__metro_station_Chekhovskaya,1.4287853440768953e-05
categorical__metro_station_Polyanka,1.4197644448825906e-05
categorical__metro_station_Dostoevskaya,1.391702425882801e-05
categorical__district_Altufyevsky,1.3904814227951228e-05
categorical__district_Severny,1.3698002212357815e-05
categorical__metro_station_Smolenskaya (F),1.3580752027605223e-05
categorical__metro_station_Kantemirovskaya,1.3516554247726242e-05
categorical__metro_station_Tverskaya,1.324881459651944e-05
categorical__district_Moskovsky,1.3187053781768162e-05
categorical__district_Bibirevo,1.3009861241023893e-05
categorical__metro_station_Ploshchad Revolyutsii,1.2022685696396454e-05
categorical__metro_station_Vystavochnaya,1.1619164683781948e-05
categorical__metro_station_Sapyornoye Pole,1.1070817731992721e-05
categorical__district_Voronovskoye,1.090937152667467e-05
categorical__metro_station_Tsvetnoy Bulvar,1.0896224976344017e-05
categorical__district_Vostochny,1.0326530967583087e-05
categorical__metro_station_Chkalovskaya,1.0235349890067606e-05
categorical__district_Voskresenskoye,1.0058695231135015e-05
categorical__metro_station_Park Kultury,1.0024579069060055e-05
categorical__district_Zelenograd,1.0004534810778072e-05
categorical__metro_station_Ploshchad Ilyicha,9.621189718922462e-06
categorical__district_Yaroslavsky,9.468708473174812e-06
categorical__district_Shcherbinka,9.438325522420505e-06
categorical__metro_station_Prospekt Mira,9.02433911896801e-06
categorical__district_Marushkinskoye,9.010342504445678e-06
categorical__distance_to_center_group_25+ km,8.8949028740405e-06
categorical__metro_station_Kurskaya,8.682168539537421e-06
categorical__district_Biryulyovo Vostochnoye,8.494887743982734e-06
categorical__district_Vnukovskoye,8.472617839183629e-06
categorical__district_Zyablikovo,8.338066133125144e-06
categorical__metro_station_Chistye Prudy,8.196113738680843e-06
categorical__district_Lianozovo,8.195723343288416e-06
categorical__metro_station_Shosse Entuziastov,7.837620874006982e-06
categorical__metro_station_Pyatnitskoye Shosse,7.827950536183841e-06
categorical__metro_station_Rimskaya,7.661431624737797e-06
categorical__metro_station_Frunzenskaya,7.53840619844618e-06
categorical__metro_station_Novoslobodskaya,7.224566848075853e-06
categorical__metro_station_Ugreshskaya,7.084259208375129e-06
categorical__district_Ryazanovskoye,7.0116077509218356e-06
categorical__metro_station_Teatralnaya,6.830484019275211e-06
categorical__metro_station_Kropotkinskaya,6.475349816379975e-06
categorical__metro_station_Dubrovka,6.4427523334049116e-06
categorical__metro_station_Delovoy Tsentr,6.223358588742655e-06
categorical__metro_station_Borovitskaya,6.17167374673502e-06
categorical__metro_station_Belorusskaya,5.828553272053792e-06
categorical__metro_station_Kozhukhovskaya,5.502263101312124e-06
categorical__okrug_ZelAO,5.0382247728201515e-06
categorical__district_Kokoshkino,5.02702086908023e-06
categorical__metro_station_Tekstilshchiki,4.953977739576907e-06
categorical__metro_station_Sukharevskaya,4.486405252945666e-06
categorical__metro_station_Arbatskaya (F),3.842050766253251e-06
categorical__metro_station_Pechatniki,3.7030359388060117e-06
categorical__metro_station_Turgenevskaya,3.4888715392927002e-06
categorical__metro_station_Park Pobedy,3.4654051552908292e-06
categorical__metro_station_Mayakovskaya,3.2363832460822863e-06
categorical__district_Krasnopakhorskoye,2.7572431987105563e-06
categorical__metro_station_Trubnaya,2.6892549810857446e-06
categorical__district_Novofyodorovskoye,2.248266110068839e-06
categorical__metro_station_Kuznetsky Most,1.8107614303646049e-06
categorical__district_Rogovskoye,1.7127630675910538e-06
categorical__district_Klyonovskoye,1.0372382234639844e-06
categorical__district_Pervomayskoye,6.089330430558248e-07
categorical__district_Shchapovskoye,5.40686188800538e-07
categorical__district_Kievsky,2.96413613405292e-07
categorical__metro_station_Kitay-Gorod,1.2337344946602272e-07
